mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__C,param_tfidf__ngram_range,param_tfidf__sublinear_tf,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.06396889686584473,0.01490928471806086,0.018314266204833986,0.016287486368625113,0.5,"(1, 1)",False,"{'classifier__C': 0.5, 'tfidf__ngram_range': (1, 1), 'tfidf__sublinear_tf': False}",0.8641975308641975,0.8280254777070064,0.8674698795180723,0.8289473684210527,0.8048780487804879,0.8387036610581633,0.023794174134992466,14,0.9605055292259084,0.9635499207606973,0.9619047619047619,0.9648562300319489,0.9636650868878357,0.9628963057622304,0.0015204283472923525
0.04380192756652832,0.01103101638232346,0.009956932067871094,0.0031297583133501716,0.5,"(1, 1)",True,"{'classifier__C': 0.5, 'tfidf__ngram_range': (1, 1), 'tfidf__sublinear_tf': True}",0.8641975308641975,0.8280254777070064,0.8674698795180723,0.8211920529801324,0.8,0.8361769882138818,0.02593902750808035,16,0.9605055292259084,0.9635499207606973,0.9619047619047619,0.9648562300319489,0.9620253164556962,0.9625683516758026,0.0014958837077284502
0.05332679748535156,0.009730526598826198,0.01186199188232422,0.0013293461884046926,0.5,"(1, 2)",False,"{'classifier__C': 0.5, 'tfidf__ngram_range': (1, 2), 'tfidf__sublinear_tf': False}",0.8571428571428571,0.8301886792452831,0.8795180722891566,0.8366013071895425,0.8121212121212121,0.8431144255976102,0.023203867332056545,12,0.985781990521327,0.9826224328593997,0.985781990521327,0.9873417721518988,0.988976377952756,0.9861009128013416,0.0021029159428153765
0.0699162483215332,0.018084784147056176,0.009723997116088868,0.002277390923870461,0.5,"(1, 2)",True,"{'classifier__C': 0.5, 'tfidf__ngram_range': (1, 2), 'tfidf__sublinear_tf': True}",0.8571428571428571,0.8301886792452831,0.8795180722891566,0.8181818181818182,0.8048780487804879,0.8379818951279205,0.02698532335313707,15,0.985781990521327,0.9826224328593997,0.9873817034700315,0.9889415481832543,0.988976377952756,0.9867408105973536,0.0023720085213781343
0.041881370544433597,0.00543122990340396,0.009596586227416992,0.0030882906597825646,1.0,"(1, 1)",False,"{'classifier__C': 1.0, 'tfidf__ngram_range': (1, 1), 'tfidf__sublinear_tf': False}",0.8819875776397516,0.8461538461538461,0.8780487804878049,0.8366013071895425,0.8023952095808383,0.8490373442103568,0.02920903839072805,10,0.9763779527559056,0.9699842022116903,0.9698890649762282,0.9761526232114467,0.9779179810725552,0.9740643648455652,0.003424754769738186
0.03501734733581543,0.005893980083972457,0.00888667106628418,0.0022774408730474646,1.0,"(1, 1)",True,"{'classifier__C': 1.0, 'tfidf__ngram_range': (1, 1), 'tfidf__sublinear_tf': True}",0.8819875776397516,0.8461538461538461,0.8780487804878049,0.8441558441558441,0.8023952095808383,0.8505482516036171,0.028717936690504868,9,0.9763779527559056,0.9683544303797469,0.9698890649762282,0.9761526232114467,0.9763779527559056,0.9734304048158465,0.003552271246592566
0.06073651313781738,0.01235703085948481,0.014297723770141602,0.003439073559065094,1.0,"(1, 2)",False,"{'classifier__C': 1.0, 'tfidf__ngram_range': (1, 2), 'tfidf__sublinear_tf': False}",0.8571428571428571,0.8461538461538461,0.8795180722891566,0.8289473684210527,0.8121212121212121,0.844776671225625,0.0231461873723447,11,0.9921507064364207,0.9937106918238994,0.9921259842519685,0.9905362776025236,0.9937304075235109,0.9924508135276646,0.0011904352354285424
0.06723599433898926,0.023105962733296823,0.01027984619140625,0.0037931227603089555,1.0,"(1, 2)",True,"{'classifier__C': 1.0, 'tfidf__ngram_range': (1, 2), 'tfidf__sublinear_tf': True}",0.8571428571428571,0.8354430379746836,0.8795180722891566,0.8289473684210527,0.8121212121212121,0.8426345095897924,0.02341369584618558,13,0.9921507064364207,0.9937106918238994,0.9921259842519685,0.9921259842519685,0.9937304075235109,0.9927687548575536,0.0007772146488821306
0.035590076446533205,0.006245075259974238,0.008430385589599609,0.0019838173415611415,2.0,"(1, 1)",False,"{'classifier__C': 2.0, 'tfidf__ngram_range': (1, 1), 'tfidf__sublinear_tf': False}",0.8888888888888888,0.8461538461538461,0.8834355828220859,0.8461538461538461,0.8023952095808383,0.8534054747199011,0.031202882741805625,5,0.9826224328593997,0.9795275590551181,0.9793977812995246,0.985781990521327,0.987460815047022,0.9829581157564784,0.0032497985575300507
0.03435192108154297,0.006492417208323031,0.0071527957916259766,0.001328897894534467,2.0,"(1, 1)",True,"{'classifier__C': 2.0, 'tfidf__ngram_range': (1, 1), 'tfidf__sublinear_tf': True}",0.8888888888888888,0.8461538461538461,0.8780487804878049,0.8461538461538461,0.8072289156626506,0.8532948554694073,0.028648737693843362,7,0.9826224328593997,0.9779874213836478,0.9793977812995246,0.985781990521327,0.987460815047022,0.9826500882221841,0.003613049453856037
0.05042586326599121,0.005078490246653228,0.00794668197631836,0.0007104608735643456,2.0,"(1, 2)",False,"{'classifier__C': 2.0, 'tfidf__ngram_range': (1, 2), 'tfidf__sublinear_tf': False}",0.8819875776397516,0.8461538461538461,0.8848484848484849,0.8289473684210527,0.8242424242424242,0.8532359402611119,0.025716626440267083,8,0.9952904238618524,0.9968652037617555,0.9984350547730829,0.9952904238618524,0.9984350547730829,0.9968632322063252,0.0014063220418279014
0.04964284896850586,0.010819678448218477,0.01121673583984375,0.002984960073585823,2.0,"(1, 2)",True,"{'classifier__C': 2.0, 'tfidf__ngram_range': (1, 2), 'tfidf__sublinear_tf': True}",0.875,0.8461538461538461,0.8848484848484849,0.8366013071895425,0.8242424242424242,0.8533692124868596,0.02298011971105274,6,0.9968652037617555,0.9968652037617555,0.9984350547730829,0.9952904238618524,0.9984350547730829,0.9971781881863059,0.0011763502776481782
